07.06.2024                           Saída dinâmica de lista                                   1
------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------
|Reserva|Cen.|Dep.|Data base |TMv|Material|Texto breve material                    |UMB|   Qtd.|
------------------------------------------------------------------------------------------------
|4378638|N190|USAD|03.06.2024|X43|22026249|CTRL REMOTO DIG. DCR7121 PACE           |UN |    40 |
|4378638|N190|USAD|03.06.2024|X43|22057705|FONTE CX DIG HD DCR74X1 LITEON          |UN |   100 |
|4378638|N190|USAD|03.06.2024|X43|22058239|FONTE DE ENERGIA PA11807UD2             |UN |    40 |
|4378638|N190|N190|03.06.2024|X43|22058258|PILHA MANGANES AAA 1,5 V                |UN |    80 |
|4379585|N190|USAD|03.06.2024|X41|41000805|SMART CARD AVULSO SIM CARD              |UN |   200 |
|4379585|N190|USAD|03.06.2024|X41|41001048|DECODER HD HHDC2                        |UN |   200 |
|4379585|N190|USAD|03.06.2024|X41|41001294|EMTA WIFI 3.0 TC7337NET 16X4            |UN |   270 |
|4379590|N190|USAD|03.06.2024|X41|41001294|EMTA WIFI 3.0 TC7337NET 16X4            |UN |   750 |
|4379590|N190|USAD|03.06.2024|X41|41001518|TERMINAL DOCSIS 3.1 WIFI HI3120         |UN |   130 |
|4379594|N190|N190|03.06.2024|X43|22025072|FITA ISOLANTE 3M 33+                    |ROL|    21 |
|4379594|N190|N190|03.06.2024|X43|22025139|FIXADOR FIO BR RG6 CIRCUL 7MM           |UN | 1.100 |
|4379594|N190|USAD|03.06.2024|X43|22025250|MARCADOR APTO NUM 1 TIPO HO85 AMARELO   |UN |   100 |
|4379594|N190|N190|03.06.2024|X43|22026199|CONECTOR TERMINACAO 75 OHMS             |UN |   100 |
|4379594|N190|N190|03.06.2024|X43|22026223|CABO COAXIAL RG6 TRISH COM MENSAG PRETO |M  | 9.455 |
|4379594|N190|N190|03.06.2024|X43|22026544|SUPORTE GALVANIZADO U SPAN CLAMP        |UN |    50 |
|4379594|N190|N190|03.06.2024|X43|22026746|DC_RI 1S 09DB 1GHZ H SOLDADO            |UN |    50 |
|4379594|N190|N190|03.06.2024|X43|22056332|FITA ISOLANTE AUTOFUSAO 3M SCOTCH23 10MT|UN |    18 |
|4379594|N190|N190|03.06.2024|X43|22056334|FECHO DE ACO INOX DENTADO 1/2           |UN |   300 |
|4379594|N190|N190|03.06.2024|X43|22056344|MARCADOR CASA PTO NR 2                  |UN |   100 |
|4379594|N190|N190|03.06.2024|X43|22056359|FITA ACO INOX 1/2 POLEGADA ROLO 25MT    |ROL|    10 |
|4379594|N190|N190|03.06.2024|X43|22057635|FIXADOR FIO PT RG6                      |UN |   200 |
|4379594|N190|N190|03.06.2024|X43|22057658|SUPORTE ROLDANA FO DROP SDA-1           |UN |   180 |
|4379594|N190|N190|03.06.2024|X43|22057659|ESTICADOR CUNHA PARA DROP OPTICO SRDO   |UN |   830 |
|4379594|N190|USAD|03.06.2024|X43|22057705|FONTE CX DIG HD DCR74X1 LITEON          |UN |   300 |
|4379594|N190|USAD|03.06.2024|X43|22061434|PITAO COM FLANGE E BUCHA S10            |UN |    59 |
|4379594|N190|N190|03.06.2024|X43|22061434|PITAO COM FLANGE E BUCHA S10            |UN |    41 |
|4379594|N190|N190|03.06.2024|X43|22061736|CABO DROP 1FO LOW F FIG8 LOW CINZA      |M  |13.000 |
|4379594|N190|N190|03.06.2024|X43|22065513|CONECTOR FO CAMPO CPO SC APC FRKW       |UN |   500 |
|4379594|N190|N190|03.06.2024|X43|22065719|MARCADOR CASA PRETO NR 1                |UN |   100 |
|4379594|N190|N190|03.06.2024|X43|22065722|MARCADOR CASA PRETO NR 4                |UN |   100 |
|4379594|N190|N190|03.06.2024|X43|22065725|MARCADOR CASA PRETO NR 7                |UN |   100 |
|4379595|N190|USAD|03.06.2024|X41|41001294|EMTA WIFI 3.0 TC7337NET 16X4            |UN |   300 |
|4379595|N190|N190|03.06.2024|X41|41001590|TERMINAL GPON ONT WIFI6 F6600P          |UN |   100 |
|4379599|N190|USAD|03.06.2024|X43|22026249|CTRL REMOTO DIG. DCR7121 PACE           |UN |    30 |
|4379599|N190|USAD|03.06.2024|X43|22057705|FONTE CX DIG HD DCR74X1 LITEON          |UN |   420 |
|4379599|N190|USAD|03.06.2024|X43|22058239|FONTE DE ENERGIA PA11807UD2             |UN |    30 |
|4379599|N190|N190|03.06.2024|X43|22058258|PILHA MANGANES AAA 1,5 V                |UN |    60 |
|4379600|N190|USAD|03.06.2024|X41|41000805|SMART CARD AVULSO SIM CARD              |UN |    30 |
|4379600|N190|USAD|03.06.2024|X41|41001048|DECODER HD HHDC2                        |UN |    30 |
|4379600|N190|USAD|03.06.2024|X41|41001294|EMTA WIFI 3.0 TC7337NET 16X4            |UN |   420 |
|4379609|N190|N190|03.06.2024|X43|22025049|VASELINA SOLIDA POTE 410G               |UN |     6 |
|4379609|N190|N190|03.06.2024|X43|22025072|FITA ISOLANTE 3M 33+                    |ROL|    69 |
|4379609|N190|N190|03.06.2024|X43|22025321|ANEL VEDACAO PLASTICA P PORTA F         |UN |   400 |
|4379609|N190|N190|03.06.2024|X43|22025349|FIXA FIO CABO DROP FO CHATO             |UN | 1.000 |
|4379609|N190|N190|03.06.2024|X43|22026189|CONEC_RI COMPRESSAO F-6                 |UN | 3.100 |
|4379609|N190|N190|03.06.2024|X43|22026199|CONECTOR TERMINACAO 75 OHMS             |UN |   100 |
|4379609|N190|N190|03.06.2024|X43|22026219|CABO COAXIAL RG6 TRISH SEM MENSAG BRANCO|M  |12.300 |
|4379609|N190|N190|03.06.2024|X43|22026223|CABO COAXIAL RG6 TRISH COM MENSAG PRETO |M  | 7.015 |
|4379609|N190|N190|03.06.2024|X43|22026772|DIV_RI 2S 1GHZ H SOLDADO                |UN |   100 |
