07.06.2024                   Saída dinâmica de lista                           1
--------------------------------------------------------------------------------
---------------------------------------------------------
|Reserva|Cen.|Dep.|Dt.lçto.  |Hora    |Referência   |TMv|
---------------------------------------------------------
|4381923|11EU|11EU|07.06.2024|10:07:05|-            |221|
|4383619|48EL|USOB|07.06.2024|10:00:32|-            |221|
|4383620|48EL|PROD|07.06.2024|10:01:33|-            |221|
|4381705|11EU|11EU|07.06.2024|10:02:24|-            |221|
|4381722|11EU|11EU|07.06.2024|10:05:55|-            |221|
|4381748|11EU|11EU|07.06.2024|10:03:33|-            |221|
|4384035|1196|UTRA|07.06.2024|09:51:24|000001605-448|301|
|4384035|1196|UTRA|07.06.2024|09:51:24|000001605-448|301|
|4384035|1196|UTRA|07.06.2024|09:51:24|000001605-448|301|
|4384035|1196|UTRA|07.06.2024|09:51:24|000001605-448|301|
|4384035|1196|UTRA|07.06.2024|09:51:24|000001605-448|301|
|4384035|1196|UTRA|07.06.2024|09:51:24|000001605-448|301|
|4384035|1196|UTRA|07.06.2024|09:51:24|000001605-448|301|
|4384035|1196|UTRA|07.06.2024|09:51:24|000001605-448|301|
|4384035|1196|UTRA|07.06.2024|09:51:24|000001605-448|301|
|4384035|1196|UTRA|07.06.2024|09:51:24|000001605-448|301|
|4384035|1196|UTRA|07.06.2024|09:51:24|000001605-448|301|
|4384035|1196|UTRA|07.06.2024|09:51:24|000001605-448|301|
|4384035|1196|UTRA|07.06.2024|09:51:24|000001605-448|301|
|4384035|1196|UTRA|07.06.2024|09:51:24|000001605-448|301|
|4384035|1196|UTRA|07.06.2024|09:51:24|000001605-448|301|
|4384035|1196|UTRA|07.06.2024|09:51:24|000001605-448|301|
|4384035|1196|UTRA|07.06.2024|09:51:24|000001605-448|301|
|4384035|1196|UTRA|07.06.2024|09:51:24|000001605-448|301|
|4384035|1196|UTRA|07.06.2024|09:51:24|000001605-448|301|
|4384035|1196|UTRA|07.06.2024|09:51:24|000001605-448|301|
|4384035|1196|UTRA|07.06.2024|09:51:24|000001605-448|301|
|4384035|1196|UTRA|07.06.2024|09:51:24|000001605-448|301|
|4384035|1196|UTRA|07.06.2024|09:51:24|000001605-448|301|
|4384035|1196|UTRA|07.06.2024|09:51:24|000001605-448|301|
|4383580|1196|UTRA|07.06.2024|09:39:06|000030646-412|301|
|4383580|1196|UTRA|07.06.2024|09:39:06|000030646-412|301|
|4382273|11EU|11EU|07.06.2024|09:35:23|000067725-626|221|
|4381743|11EU|11EU|07.06.2024|09:37:45|000067726-626|221|
|4382268|11EU|11EU|07.06.2024|09:36:53|000067727-626|221|
|4381701|11EU|11EU|07.06.2024|09:41:58|000067728-626|221|
|4381747|11EU|11EU|07.06.2024|09:43:07|000067729-626|221|
|4381713|11EU|11EU|07.06.2024|09:44:14|000067730-626|221|
|4381728|11EU|11EU|07.06.2024|09:39:35|000067731-626|221|
|4381727|11EU|11EU|07.06.2024|09:40:40|000067732-626|221|
|4381731|11EU|11EU|07.06.2024|09:42:44|000067733-626|221|
|4381711|11EU|11EU|07.06.2024|09:41:39|000067734-626|221|
|4382263|11EU|11EU|07.06.2024|09:39:42|000067735-626|221|
|4381741|11EU|11EU|07.06.2024|09:43:47|000067736-626|221|
|4382277|11EU|11EU|07.06.2024|09:38:14|000067737-626|221|
|4381709|11EU|11EU|07.06.2024|09:53:36|000067738-626|221|
|4381716|11EU|11EU|07.06.2024|09:51:30|000067739-626|221|
|4381725|11EU|11EU|07.06.2024|09:56:23|000067740-626|221|
|4381732|11EU|11EU|07.06.2024|09:54:45|000067741-626|221|
|4381749|11EU|11EU|07.06.2024|09:53:42|000067742-626|221|
|4381740|11EU|11EU|07.06.2024|09:54:57|000067743-626|221|
|4381735|11EU|11EU|07.06.2024|09:52:33|000067744-626|221|
|4380947|N491|USAD|07.06.2024|09:57:34|000081785-702|X33|
|4380947|N491|USAD|07.06.2024|09:57:34|000081785-702|X33|
|4380947|N491|USAD|07.06.2024|09:57:34|000081785-702|X33|
|4379735|N190|USAD|07.06.2024|07:50:52|000091130-806|X51|
|4379735|N190|    |07.06.2024|07:50:52|000091130-806|X51|
|4379735|N190|    |07.06.2024|07:50:52|000091130-806|X51|
|4379735|N190|USAD|07.06.2024|07:50:52|000091130-806|X51|
|4379735|N190|USAD|07.06.2024|07:50:52|000091130-806|X51|
|4379735|N190|    |07.06.2024|07:50:52|000091130-806|X51|
|4379735|N190|    |07.06.2024|07:50:52|000091130-806|X51|
|4379735|N190|USAD|07.06.2024|07:50:52|000091130-806|X51|
|4379695|N190|    |07.06.2024|08:00:44|000091131-806|X43|
|4379695|N190|USAD|07.06.2024|08:00:44|000091131-806|X43|
|4379695|N190|    |07.06.2024|08:00:44|000091131-806|X43|
|4379695|N190|N190|07.06.2024|08:00:44|000091131-806|X43|
|4379707|N190|USAD|07.06.2024|08:00:51|000091132-806|X43|
|4379707|N190|    |07.06.2024|08:00:51|000091132-806|X43|
|4379707|N190|    |07.06.2024|08:00:51|000091132-806|X43|
|4379707|N190|N190|07.06.2024|08:00:51|000091132-806|X43|
|4379707|N190|    |07.06.2024|08:00:51|000091132-806|X43|
|4379707|N190|N190|07.06.2024|08:00:51|000091132-806|X43|
|4379696|N190|USAD|07.06.2024|08:00:47|000091133-806|X43|
|4379696|N190|    |07.06.2024|08:00:47|000091133-806|X43|
|4379696|N190|    |07.06.2024|08:00:47|000091133-806|X43|
|4379696|N190|N190|07.06.2024|08:00:47|000091133-806|X43|
|4383618|N190|USUS|07.06.2024|08:28:06|000091134-806|541|
|4383618|N190|    |07.06.2024|08:28:06|000091134-806|541|
|4383618|N190|USUS|07.06.2024|08:28:06|000091134-806|541|
|4383618|N190|    |07.06.2024|08:28:06|000091134-806|541|
|4379597|N190|USAD|07.06.2024|08:50:42|000091138-806|X41|
|4379597|N190|    |07.06.2024|08:50:42|000091138-806|X41|
|4379597|N190|USAD|07.06.2024|08:50:42|000091138-806|X41|
|4379597|N190|    |07.06.2024|08:50:42|000091138-806|X41|
|4379597|N190|USAD|07.06.2024|08:50:42|000091138-806|X41|
|4379597|N190|    |07.06.2024|08:50:42|000091138-806|X41|
